market,strategy,venue,bets,races,bets_per_race,hits,hit_rate,roi,roi_without_max,max_payout,max_share
local,independent_product_top2,船橋,2190,1095,2.0,304,13.881278538812786,79.30593607305936,77.83561643835617,3220.0,0.01853984339014279
local,independent_product_top2,金沢,2776,1388,2.0,503,18.11959654178674,80.01440922190201,79.19308357348703,2280.0,0.010264721772015126
local,independent_product_top2,門別,2760,1380,2.0,445,16.1231884057971,84.95289855072464,83.32246376811594,4500.0,0.019192220753188043
local,independent_product_top2,高知,3652,1826,2.0,610,16.703176341730558,84.4249726177437,83.46933187294633,3490.0,0.011319408406850025
local,independent_product_top3,佐賀,5779,1927,2.9989621172807475,870,15.054507700294167,72.73576743381207,71.76328084443675,5620.0,0.013370128943236428
local,independent_product_top3,名古屋,6597,2200,2.9986363636363635,791,11.990298620585115,72.82552675458541,71.59466424132181,8120.0,0.016901525716545594
local,independent_product_top3,園田,7062,2358,2.994910941475827,976,13.820447465307279,74.77060322854716,73.29226847918437,10440.0,0.01977160388614283
local,independent_product_top3,大井,5094,1700,2.996470588235294,613,12.033765213977228,71.8884962701217,70.92069100903024,4930.0,0.013462588749317312
local,independent_product_top3,姫路,1650,551,2.9945553539019962,222,13.454545454545455,67.01818181818182,65.19393939393939,3010.0,0.027220112136010128
local,independent_product_top3,川崎,3397,1134,2.995590828924162,385,11.333529584927877,72.33441271710333,71.25404768913748,3670.0,0.014935699169786749
